,DBA,PHONE,Unnamed: 0,google_categories,google_price_level,google_rating,loc,yelp_categories,yelp_rating,yelp_review_count
22,10 BELOW ICE CREAM,3478795161,22.0,,1.0,4.4,"10 MOTT ST, MANHATTAN, NY, 10013 US",,,
23,10 DEVOE,7183880066,23.0,,,4.8,"10 DEVOE ST, BROOKLYN, NY, 11211 US",,,
24,100 FUN,7184368883,24.0,,,,"932934 60 STREET, BROOKLYN, NY, 11219 US",,,
25,1001 NIGHTS CAFE,7183708080,25.0,,1.0,4.4,"2025 RICHMOND AVENUE, STATEN ISLAND, NY, 10314 US",,,
26,101 CAFE,7188482233,26.0,,,4.4,"9805 101 AVENUE, QUEENS, NY, 11416 US",,,
27,101 DELI,7186341121,27.0,,,3.7,"10016 ROCKAWAY BEACH BOULEVARD, QUEENS, NY, 11694 US",,,
28,101 MEAT SHOP,7184419333,28.0,,,4.0,"11601 101ST AVE, QUEENS, NY, 11419 US",,,
29,101% CAFE,2126088688,29.0,,,,"115 STANTON ST, MANHATTAN, NY, 10002 US",,,
30,1020 BAR,2125313468,30.0,,,4.3,"1020 AMSTERDAM AVENUE, MANHATTAN, NY, 10025 US",,,
31,104-01 FOSTER AVENUE COFFEE SHOP(UPS),7182707879,31.0,,,,"10401 FOSTER AVENUE, BROOKLYN, NY, 11236 US",,,
32,1061 CATERING,7189754880,32.0,,,,"1061 OCEAN PKWY, BROOKLYN, NY, 11230 US",,,
33,107 WEST RESTAURANT,2128641555,33.0,,2.0,3.9,"2787 BROADWAY, MANHATTAN, NY, 10025 US",,,
34,108 DOUBLE CHINESE RESTAURANT,7187601021,34.0,,1.0,4.2,"5316 108TH ST, QUEENS, NY, 11368 US",,,
35,108 FOOD DRIED HOT POT,9176756878,35.0,,,,"2794 BROADWAY, MANHATTAN, NY, 10025 US",,,
36,1080 BREW,3474849220,36.0,,,4.9,"1080 WYCKOFF AVE, QUEENS, NY, 11385 US",,,
37,109 WEST BROADWAY FOOD & WINE LLC,6464227495,37.0,,,,"109 W BROADWAY, MANHATTAN, NY, 10013 US",,,
38,10BELOW ICE CREAM,3478795161,38.0,,1.0,4.3,"13620 38TH AVE, QUEENS, NY, 11354 US",,,
39,10TH AVENUE COOKSHOP,2129244440,39.0,,3.0,4.2,"156 10 AVENUE, MANHATTAN, NY, 10011 US",,,
40,10TH AVENUE PIZZA & CAFE,2123669222,40.0,,,,"256 10TH AVE BET 24 & 25 ST ), MANHATTAN, NY, 10001 US",,,
41,11 HANOVER GREEK,2127854000,41.0,,,4.5,"11 HANOVER SQ, MANHATTAN, NY, 10005 US",,,
42,11 HOWARD KITCHEN,6469371256,42.0,,,4.6,"138 LAFAYETTE ST, MANHATTAN, NY, 10013 US",,,
43,11 STREET CAFE,6466924455,43.0,,2.0,4.3,"327 WEST   11 STREET, MANHATTAN, NY, 10014 US",,,
44,111 RESTAURANT,7189955570,44.0,,,,"0 CENTRAL TAXI HOLD, QUEENS, NY, 11430 US",,,
45,"1174 FULTON CUISINE, HALAL FOOD",3474057708,45.0,,,3.9,"1174 FULTON ST, BROOKLYN, NY, 11216 US",,,
46,118 KITCHEN,2127226888,46.0,,,,"1 E 118TH ST, MANHATTAN, NY, 10029 US",,,
47,12 CHAIRS,2122548640,47.0,,2.0,4.5,"56 MACDOUGAL STREET, MANHATTAN, NY, 10012 US",,,
48,12 CHAIRS CAFE,3472277077,48.0,,2.0,4.4,"342 WYTHE AVE, BROOKLYN, NY, 11249 US",,,
49,12 CORAZONES RESTAURANT & BAR,7182055575,49.0,,,3.0,"8622 ROOSEVELT AVENUE, QUEENS, NY, 11372 US",,,
50,12 CORNERS,6467220838,50.0,,,4.6,"155 EAST BROADWAY, MANHATTAN, NY, 10002 US",,,
51,12 CORNERS COFFEE,2126258888,51.0,,,4.9,"121 MOTT ST, MANHATTAN, NY, 10013 US",,,
52,12 STREET ALE HOUSE,2122532323,52.0,,1.0,4.1,"192 2 AVENUE, MANHATTAN, NY, 10003 US",,,
53,120 BAY CAFE,7182737770,53.0,,2.0,4.4,"120 BAY STREET, STATEN ISLAND, NY, 10301 US",,,
54,121 FULTON STREET,6465456647,54.0,,2.0,3.9,"121 FULTON STREET, MANHATTAN, NY, 10038 US",,,
55,123 NIKKO,2125311288,55.0,,3.0,4.1,"1280 AMSTERDAM AVENUE, MANHATTAN, NY, 10027 US",,,
56,12302009,9176732425,56.0,,,,"998 TIFFANY ST, BRONX, NY, 10459 US",,,
57,124 COFFEE SHOP,2124108494,57.0,,,,"53 E 124TH ST, MANHATTAN, NY, 10035 US",,,
58,129 GOURMET DELI,2126974736,58.0,,,1.0,"129 E 45TH ST, MANHATTAN, NY, 10017 US",,,
59,12TH STREET BAR & GRILL,7189659526,59.0,,2.0,4.0,"1123 8 AVENUE, BROOKLYN, NY, 11215 US",,,
60,13106 GRAND EVERGREEN CHINESE RESTAURANT,7186593948,60.0,,1.0,4.5,"13106 ROCKAWAY BLVD, QUEENS, NY, 11420 US",,,
61,132 LOUNGE,7185961800,61.0,,,4.5,"132 MONTAGUE STREET, BROOKLYN, NY, 11201 US",,,
62,149 STEAM FISH,7182927997,62.0,,,4.4,"500 E 149TH ST, BRONX, NY, 10455 US",,,
63,15 CENTRAL PARK WEST RESTAURANT,2126019526,63.0,,,4.7,"15 CENTRAL PARK WEST, MANHATTAN, NY, 10023 US",,,
64,15 EAST RESTAURANT,2126479915,64.0,,3.0,4.1,"15 EAST   15 STREET, MANHATTAN, NY, 10003 US",,,
65,15 FLAVORS,3478980796,65.0,,,,"1046 MORRIS PARK AVE, BRONX, NY, 10461 US",,,
66,16 HANDLES,7186769889,66.0,,,4.3,"1351 CONEY ISLAND AVE, BROOKLYN, NY, 11230 US",,,
67,161 HOT POT RICE,6462620928,67.0,,,,"13335 ROOSEVELT AVE, QUEENS, NY, 11354 US",,,
68,1617-A NATIONAL BAKERY,7188930660,68.0,,,3.9,"1617 WESTCHESTER AVENUE, BRONX, NY, 10472 US",,,
69,1633,2128378285,69.0,,,,"1633 2ND AVE, MANHATTAN, NY, 10028 US",,,
70,168 HI TEA,7183801369,70.0,,,4.5,"16711 UNION TURNPIKE, QUEENS, NY, 11366 US",,,
71,168 JOY CAFE,7189751220,71.0,,,,"1418 MERMAID AVE, BROOKLYN, NY, 11224 US",,,
72,169 BAR,9175772077,72.0,,,4.2,"169 EAST BROADWAY, MANHATTAN, NY, 10002 US",,,
73,16TH AVENUE GLATT,7188715254,73.0,,,4.4,"4619 16 AVENUE, BROOKLYN, NY, 11204 US",,,
74,173 WEBSTER AVENUE CAFE,9174064565,74.0,,,,"1692 WEBSTER AVE, BRONX, NY, 10457 US",,,
75,18 BAKERY,7182595399,75.0,,,,"6820 18 AVENUE, BROOKLYN, NY, 11204 US",,,
76,18 EAST GUNHILL PIZZA,7184057088,76.0,,,4.6,"18 E GUN HILL RD, BRONX, NY, 10467 US",,,
77,18 HIPOT,9179334888,77.0,,,,"8204 18TH AVE, BROOKLYN, NY, 11214 US",,,
78,18 RESTAURANT,2125172400,78.0,,,,"240 EAST   81 STREET, MANHATTAN, NY, 10028 US",,,
79,18 STARS KITCHEN,7182560218,79.0,,,3.0,"8515 18TH AVE, BROOKLYN, NY, 11214 US",,,
80,1818 SEAFOOD RESTAURANT,7183326188,80.0,,2.0,3.4,"1818 AVENUE U, BROOKLYN, NY, 11229 US",,,
81,1876/BEERS OF BROOKLYN,9176186310,81.0,,,,"620 ATLANTIC AVENUE, BROOKLYN, NY, 11217 US",,,
82,19 CAFE,7183878777,82.0,,,4.7,"84 MANHATTAN AVE, BROOKLYN, NY, 11206 US",,,
83,196 LOVING TEA,6463381338,83.0,,,4.5,"196 CANAL ST, MANHATTAN, NY, 10013 US",,,
84,197 NO. 1 RESTAURANT,7186287867,84.0,,,,"197 KNICKERBOCKER AVENUE, BROOKLYN, NY, 11237 US",,,
85,1ST AVENUE GOURMET,2124728480,85.0,,1.0,3.0,"1274 1ST AVE, MANHATTAN, NY, 10065 US",,,
86,1ST BASE CONCESSION STAND,7185131309,86.0,,,,"75 RICHMOND TERRACE, STATEN ISLAND, NY, 10301 US",,,
87,1ST MAMA RESTAURANT,7182993208,87.0,,,5.0,"8 W TREMONT AVE, BRONX, NY, 10453 US",,,
88,2 BACI PIZZERIA,7185766161,88.0,,,4.5,"345A NOSTRAND AVE, BROOKLYN, NY, 11216 US",,,
89,2 BRO'S PIZZA,2122391117,89.0,,2.0,3.9,"601 6TH AVE, MANHATTAN, NY, 10011 US",,,
90,2 BROS PIZZA,2122391117,90.0,,2.0,4.1,"31 WEST   46 STREET, MANHATTAN, NY, 10036 US",,,
91,2 BROS PIZZA/JUICE SHOP,9175878888,91.0,,,4.1,"113 E 125TH ST, MANHATTAN, NY, 10035 US",,,
92,2 BROTHERS PIZZA,9175878888,92.0,,,3.0,"224 W 35TH ST, MANHATTAN, NY, 10001 US",,,
93,2 HARLEM BROS PIZZA,9177949995,93.0,,,4.0,"346 W 145TH ST, MANHATTAN, NY, 10039 US",,,
94,2 IN 1 RESTAURANT,7183380688,94.0,,2.0,3.8,"2108 FLATBUSH AVENUE, BROOKLYN, NY, 11234 US",,,
95,2 PALMITAS MEXICAN DELI,7188491108,95.0,,1.0,4.3,"10915 JAMAICA AVENUE, QUEENS, NY, 11418 US",,,
96,2 WEST RESTAURANT,2123440800,96.0,,,,"2 WEST STREET, MANHATTAN, NY, 10004 US",,,
97,2 sweet of yonkers inc.,5164588020,97.0,,,,"4028 COLLEGE POINT BLVD, QUEENS, NY, 11354 US",,,
98,200 FIFTH AVENUE RESTAURANT & SPORTS BAR,7186382925,98.0,,2.0,4.0,"200 5 AVENUE, BROOKLYN, NY, 11217 US",,,
99,21 BAR,9179752690,99.0,,,3.6,"4318 BROADWAY, MANHATTAN, NY, 10033 US",,,
100,21 CLUB,2125827200,100.0,,4.0,4.1,"21 WEST   52 STREET, MANHATTAN, NY, 10019 US",,,
101,21 HOME'S KITCHEN,2124755049,101.0,,2.0,3.5,"22 EAST   21 STREET, MANHATTAN, NY, 10010 US",,,
102,212 PIZZAMAN,2127499262,102.0,,,,"188 E 104TH ST, MANHATTAN, NY, 10029 US",,,
103,212 STEAKHOUSE,2128580646,103.0,,3.0,4.3,"316 E 53RD ST, MANHATTAN, NY, 10022 US",,,
104,2123 FRESH TORTILLAS,7183191208,104.0,,,4.1,"2123 WILLIAMSBRIDGE RD, BRONX, NY, 10461 US",,,
105,218 RESTAURANT,2122268039,105.0,,,,"218220 GRAND STREET, MANHATTAN, NY, 10013 US",,,
106,21ST STREET DELI & INDIAN GRILL,5166673606,106.0,,,,"4344 21ST ST, QUEENS, NY, 11101 US",,,
107,22 STR CONCESSION STAND,9173049069,107.0,,,,"3052-3078 W 21ST ST, BROOKLYN, NY, 11224 US",,,
108,22 THAI CUISINE,2127660988,108.0,,2.0,3.3,"22 MAIDEN LANE, MANHATTAN, NY, 10038 US",,,
109,224TH CORNER RESTAURANT & BAKERY,7186522878,109.0,,,,"701 EAST  224 STREET, BRONX, NY, 10466 US",,,
110,229 LINDEN RESTAURANT,7182764619,110.0,,,,"22902 LINDEN BLVD, QUEENS, NY, 11411 US",,,
111,230 FIFTH,2127254300,111.0,,2.0,3.9,"230 FIFTH AVENUE, MANHATTAN, NY, 10001 US",,,
112,234 CHINA CITY,7187144272,112.0,,1.0,4.1,"234 KINGS HIGHWAY, BROOKLYN, NY, 11223 US",,,
113,24 HOUR FITNESS #288,7187398667,113.0,,,2.9,"15926 JAMAICA AVE, QUEENS, NY, 11432 US",,,
114,24 HOUR FITNESS #290,7187930910,114.0,,,3.1,"8002 KEW GARDENS RD, QUEENS, NY, 11415 US",,,
115,24 HOUR FITNESS CLUB,7609184767,115.0,,,2.9,"298 W 231ST ST, BRONX, NY, 10463 US",,,
116,24 HOUR FITNESS CLUB #289,7183764444,116.0,,,3.0,"945 KINGS HWY, BROOKLYN, NY, 11223 US",,,
117,24 HOUR FITNESS CLUB 292,7609184722,117.0,,,3.3,"2163 TILDEN AVE, BROOKLYN, NY, 11226 US",,,
118,2419 CHINA STAR RESTAURANT,7182826688,118.0,,,4.4,"2419 FOSTER AVE, BROOKLYN, NY, 11210 US",,,
119,241ST CAFE RESTAURANT,7183244924,119.0,,,4.5,"4703 WHITE PLAINS RD, BRONX, NY, 10470 US",,,
120,242 CAFE BAKERY,2123432505,120.0,,,3.5,"242 CANAL STREET, MANHATTAN, NY, 10013 US",,,
121,251 GINZA SUSHI HUANG,2128893333,121.0,,2.0,4.8,"251 E 35TH ST, MANHATTAN, NY, 10016 US",,,
122,25TH DELI,7182745040,122.0,,,1.0,"4819 25 AVENUE, QUEENS, NY, 11103 US",,,
123,27 SHINJUKU SUSHI,2124067333,123.0,,2.0,3.7,"27 PARK PLACE, MANHATTAN, NY, 10007 US",,,
124,27 SPORTS BAR & CAFE,7187313585,124.0,,,4.0,"2 WEST MOUNT EDEN AVENUE, BRONX, NY, 10452 US",,,
125,28 MING'S CAFFE,2129781888,125.0,,,4.5,"28 CANAL ST, MANHATTAN, NY, 10002 US",,,
126,28 NOODLES,2126792888,126.0,,2.0,3.3,"417 3 AVENUE, MANHATTAN, NY, 10016 US",,,
127,2A,2125052466,127.0,,,,"25 AVENUE A, MANHATTAN, NY, 10009 US",,,
128,2BEANS,2129378914,128.0,,,4.0,"254 PARK AVE S, MANHATTAN, NY, 10010 US",,,
129,2ND AVE BLUE 9 BURGER,2129888171,129.0,,2.0,3.3,"1415 2 AVENUE, MANHATTAN, NY, 10021 US",,,
130,2ND AVE DELI,2126899000,130.0,,2.0,4.1,"162 EAST 33 STREET, MANHATTAN, NY, 10016 US",,,
131,2ND AVENUE DELI,2127371700,131.0,,2.0,4.0,"1442 1 AVENUE, MANHATTAN, NY, 10021 US",,,
132,2ND CITY,9176393262,132.0,,1.0,4.6,"525 HUDSON ST, MANHATTAN, NY, 10014 US",,,
133,3 BLACK CATS CAFE/CAKERY,3474259494,133.0,,1.0,4.6,"3 BELMONT AVE, BROOKLYN, NY, 11212 US",,,
134,3 BROS 99 CENT PIZZA,7187777133,134.0,,,5.0,"2503 30TH AVE, QUEENS, NY, 11102 US",,,
135,3 BROTHERS PIZZA,718 727 2682,135.0,,,3.9,"189 BROAD ST, STATEN ISLAND, NY, 10304 US",,,
136,3 D'S LEGACY SALAD & GRILL,3476570910,136.0,,,5.0,"445 MORRIS PARK AVENUE, BRONX, NY, 10460 US",,,
137,3 DELI & GRILL,2124863272,137.0,,2.0,5.0,"133 EAST   55 STREET, MANHATTAN, NY, 10022 US",,,
138,3 ESQUINAS RESTAURANT,7183844447,138.0,,,,"657 FLUSHING AVE, BROOKLYN, NY, 11206 US",,,
139,3 GREEKS GRILL,7187298900,139.0,,,4.6,"3561 VERNON BLVD, QUEENS, NY, 11106 US",,,
140,3 GUYS,2123483800,140.0,,1.0,3.8,"1381 MADISON AVENUE, MANHATTAN, NY, 10029 US",,,
141,3 GUYS RESTURANT,2123693700,141.0,,2.0,3.7,"1232 MADISON AVENUE, MANHATTAN, NY, 10128 US",,,
142,3 GUYS SUSHI,7184470088,142.0,,,4.2,"530 FOREST AVE, STATEN ISLAND, NY, 10310 US",,,
143,3 IN 1 FS&H JAMAICAN RESTAURANT,3476320767,143.0,,,4.0,"14412 243RD ST, QUEENS, NY, 11422 US",,,
144,3 IN 1 KITCHEN,7184377744,144.0,,1.0,3.3,"4902 FORT HAMILTON PKWY, BROOKLYN, NY, 11219 US",,,
145,3 ROOTS,7183892468,145.0,,1.0,4.4,"159 FRANKLIN STREET, BROOKLYN, NY, 11222 US",,,
146,3 SHEETS SALOON,2127771733,146.0,,2.0,4.0,"134 WEST    3 STREET, MANHATTAN, NY, 10012 US",,,
147,3 SISTERS PIZZA,3478622514,147.0,,,,"324 E 194TH ST, BRONX, NY, 10458 US",,,
148,3 SISTERS' & SHANTA'S RESTAURANT & BAKERY,7188453570,148.0,,,3.5,"10704 LIBERTY AVENUE, QUEENS, NY, 11417 US",,,
149,3 STAR JUICE CENTER,7184930099,149.0,,,4.8,"482 UTICA AVENUE, BROOKLYN, NY, 11203 US",,,
150,3 WAY RESTAURANT,7182959595,150.0,,2.0,4.0,"384 EAST  188 STREET, BRONX, NY, 10458 US",,,
151,3-J RESTAURANT AND PIZZA,3473461381,151.0,,1.0,3.7,"554A PROSPECT AVE, BRONX, NY, 10455 US",,,
152,301 CAFE JUICE AND SMOOTHIES,9174971631,152.0,,,,"301 E KINGSBRIDGE RD, BRONX, NY, 10458 US",,,
153,302 BAR,3472995061,153.0,,,4.8,"302 IRVING AVENUE, BROOKLYN, NY, 11237 US",,,
154,310 - EXELSIOR,7185958100,154.0,,,,"126 ROOSEVELT AVENUE, QUEENS, NY, 11368 US",,,
155,310 BOWERY BAR,2124771166,155.0,,,4.2,"310 BOWERY, MANHATTAN, NY, 10012 US",,,
156,310 DELI & CONVENIENCE,__________,156.0,,,,"310 FLATBUSH AVE, BROOKLYN, NY, 11238 US",,,
157,31ST AVENUE GYRO.,7185454340,157.0,,2.0,4.4,"4402 31 AVENUE, QUEENS, NY, 11103 US",,,
158,32 CAFE INC.,6465153343,158.0,,,4.8,"11 E 32ND ST, MANHATTAN, NY, 10016 US",,,
159,321 ICE CREAM SHOP,9176673280,159.0,,,4.3,"288 GRAND ST, BROOKLYN, NY, 11211 US",,,
160,33,9179874073,160.0,,,,"33 LAFAYETTE AVE, BROOKLYN, NY, 11217 US",,,
161,33 CAPTAIN'S CAFE,2127797191,161.0,,,4.8,"18 E 33RD ST, MANHATTAN, NY, 10016 US",,,
162,33 GOURMET,2123022301,162.0,,,,"552 8TH AVE, MANHATTAN, NY, 10018 US",,,
163,33 GREENWICH,718 344 2713,163.0,,,3.0,"33 GREENWICH AVE, MANHATTAN, NY, 10014 US",,,
164,33 Gourmet,2129041351,164.0,,1.0,3.0,"157 WEST   33 STREET, MANHATTAN, NY, 10001 US",,,
165,333 LOUNGE,9176098864,165.0,,,4.1,"333 FLATBUSH AVE, BROOKLYN, NY, 11217 US",,,
166,337 - BURGERS & DOGS,7185958100,166.0,,,,"126 ROOSEVELT AVENUE, QUEENS, NY, 11368 US",,,
167,35 DUET,6464730826,167.0,,,,"5355 WEST   35 STREET, MANHATTAN, NY, 10001 US",,,
168,360 LOUNGE,7188868668,168.0,,,,"13344 37 AVENUE, QUEENS, NY, 11354 US",,,
169,38 DELI,7187903143,169.0,,,,"968 58 STREET, BROOKLYN, NY, 11219 US",,,
170,388 CAFE & DELI,2122191318,170.0,,,5.0,"1-3 ELDRIDGE STREET, MANHATTAN, NY, 10002 US",,,
171,39 FANTASTIC BAR,9293676668,171.0,,,,"3914 8TH AVE, BROOKLYN, NY, 11232 US",,,
172,39 KARAOKE,3478566929,172.0,,,,"820 39TH ST, BROOKLYN, NY, 11232 US",,,
173,3E TASTE OF THAI,7189328826,173.0,,2.0,4.3,"3416 BROADWAY, QUEENS, NY, 11106 US",,,
174,3rd & 7,7183366300,174.0,,,,"3622 QUENTIN ROAD, BROOKLYN, NY, 11234 US",,,
175,4 CHARLES RIB PRIME RIB,2125615992,175.0,,3.0,5.0,"4 CHARLES ST, MANHATTAN, NY, 10014 US",,,
176,4 FOLD,9293282581,176.0,,,,"2914 23RD AVE, QUEENS, NY, 11105 US",,,
177,4 SQUARED FLAVORS,7189373028,177.0,,,3.9,"4512 GREENPOINT AVE, QUEENS, NY, 11104 US",,,
178,40/40 CLUB,2128324040,178.0,,2.0,3.6,"6 WEST   25 STREET, MANHATTAN, NY, 10010 US",,,
179,40/40 CLUB BAR,9176186310,179.0,,4.0,4.2,"620 ATLANTIC AVENUE, BROOKLYN, NY, 11217 US",,,
180,401 LUCKY STAR RESTAURANT,7184852633,180.0,,2.0,2.9,"401 MOTHER GASTON BLVD, BROOKLYN, NY, 11212 US",,,
181,414 Hotel,2123990006,181.0,,,4.6,"414 W 46TH ST, MANHATTAN, NY, 10036 US",,,
182,414 LATINO RESTAURANT SPORTS BAR,3478515891,182.0,,,,"414 EAST  138 STREET, BRONX, NY, 10454 US",,,
183,42ND STREET PIZZA DINER,2125944312,183.0,,2.0,3.2,"647 WEST   42 STREET, MANHATTAN, NY, 10036 US",,,
184,44 & X HELL'S KITCHEN,2129771170,184.0,,2.0,4.2,"622 10 AVENUE, MANHATTAN, NY, 10036 US",,,
185,44 1/2 CAFE,2123994450,185.0,,,,"626 10 AVENUE, MANHATTAN, NY, 10036 US",,,
186,44TH STREET MINAR,2129490245,186.0,,2.0,3.3,"160 EAST   44 STREET, MANHATTAN, NY, 10017 US",,,
187,44TH STREET PIZZA,2125994438,187.0,,,4.0,"700 3 AVENUE, MANHATTAN, NY, 10017 US",,,
188,456 RESTAURANT,2129640003,188.0,,2.0,3.8,"69 MOTT STREET, MANHATTAN, NY, 10013 US",,,
189,46 GRILL CAFE,7183920362,189.0,,,,"4755 46 STREET, QUEENS, NY, 11377 US",,,
190,4618 BAKERY,7184384820,190.0,,,,"4618 8 AVENUE, BROOKLYN, NY, 11220 US",,,
191,47 COFFEE,2125750801,191.0,,1.0,4.5,"27 W 47TH ST, MANHATTAN, NY, 10036 US",,,
192,49 GROVE,2127271100,192.0,,3.0,3.2,"49 GROVE STREET, MANHATTAN, NY, 10014 US",,,
193,4ALL AMERICAN BAGEL & BARISTA II,7189452233,193.0,,,,"2010 CROSS BAY BLVD, QUEENS, NY, 11693 US",,,
194,4O KNOTS,9177701984,194.0,,,,"200 COLUMBIA STREET, BROOKLYN, NY, 11231 US",,,
195,4TH DOWN,9177446522,195.0,,,4.3,"750 GRAND ST, BROOKLYN, NY, 11211 US",,,
196,4TH FLOOR CAFE,2125170586,196.0,,,,"221 EAST 71ST STREET, MANHATTAN, NY, 10021 US",,,
197,5 BORO BURGER,2125642211,197.0,,2.0,3.3,"80 WEST   36 STREET, MANHATTAN, NY, 10018 US",,,
198,5 BURRO CAFE,7185442984,198.0,,2.0,4.2,"7205 AUSTIN STREET, QUEENS, NY, 11375 US",,,
199,5 DE MAYO,7182715290,199.0,"[[u'restaurant', u'food', u'point_of_interest', u'establishment']]",2.0,4.4,"10809 53 AVENUE, QUEENS, NY, 11368 US",,,
200,5 ESTRELLA BAKERY,2127955000,200.0,,,4.4,"3861 BROADWAY, MANHATTAN, NY, 10032 US",,,
201,5 NAPKIN,2122490777,201.0,,,4.3,"1325 2ND AVE, MANHATTAN, NY, 10021 US",,,
202,5 NAPKIN BURGER,2123334488,202.0,,2.0,3.8,"2315 BROADWAY, MANHATTAN, NY, 10024 US",,,
203,5 SENSES,6468526003,203.0,,,4.2,"9 W 32ND ST, MANHATTAN, NY, 10001 US",,,
204,5 STAR CHEESE STEAK AND PIZZA,2129871540,204.0,,,3.2,"2039 1ST AVE, MANHATTAN, NY, 10029 US",,,
205,5 STAR VILLAGE CAFE,7189753373,205.0,,,4.6,"1968 CONEY ISLAND AVENUE, BROOKLYN, NY, 11223 US",,,
206,50,2125244104,206.0,,,,"50 COMMERCE ST, MANHATTAN, NY, 10014 US",,,
207,502 BAR RESTAURANT,7182061818,207.0,,,,"17013 JAMAICA AVE, QUEENS, NY, 11432 US",,,
208,51 MOTT STREET RESTAURANT,2122333368,208.0,,,4.2,"51 MOTT ST, MANHATTAN, NY, 10013 US",,,
209,510 11ST BAR,2129824929,209.0,,,4.3,"510 EAST   11 STREET, MANHATTAN, NY, 10009 US",,,
210,51ST BAKERY AND CAFE,7187070554,210.0,,,4.6,"5-33 51ST AVE, QUEENS, NY, 11101 US",,,
211,520 DESSERT,5209120000,211.0,,,4.3,"13353 37TH AVE, QUEENS, NY, 11354 US",,,
212,525 LEX RESTAURANT & LOUNGE,2127554000,212.0,,2.0,2.3,"525 LEXINGTON AVE, MANHATTAN, NY, 10017 US",,,
213,52ND SUSHI,7185079204,213.0,,1.0,4.1,"5221 ROOSEVELT AVENUE, QUEENS, NY, 11377 US",,,
214,54 BELOW,6464763551,214.0,,2.0,4.5,"254 WEST   54 STREET, MANHATTAN, NY, 10019 US",,,
215,54 GOURMET DELI,2127670009,215.0,,1.0,4.7,"250 W 54TH ST, MANHATTAN, NY, 10019 US",,,
216,55 BAR,2129299883,216.0,,2.0,3.6,"55 CHRISTOPHER STREET, MANHATTAN, NY, 10014 US",,,
217,55 THOMAS CAFE,2128867347,217.0,,,,"55 THOMAS STREET, MANHATTAN, NY, 10013 US",,,
218,555 VIVACAFE,7185857555,218.0,,,4.9,"555 BERGEN AVENUE, BRONX, NY, 10455 US",,,
219,556 EL CAFE INTERNATIONAL,7182723545,219.0,,,4.2,"556 WORTMAN AVENUE, BROOKLYN, NY, 11208 US",,,
220,561 EL BARRIO RESTAURANT,7184014655,220.0,,,,"561 SOUTHERN BLVD, BRONX, NY, 10455 US",,,
